Gazepoint Analysis,v6.0.0
Processed on,Mon Feb 17 16:11:48 2020

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
0, NewMedia0, U, 1, Map1, 0.000, U, 39, user39, M, 0, 3.367, 58.289, 5.920, 265.000, 178, 
0, NewMedia0, U, 2, Map2, 0.000, U, 0, user1, M, 0, 1.183, 219.785, 22.323, 402.000, 145, 
0, NewMedia0, U, 2, Map2, 0.000, U, 1, user2, M, 0, 0.000, 31.405, 3.190, 103.000, 62, 
0, NewMedia0, U, 2, Map2, 0.000, U, 2, user3, M, 0, 2.382, 35.182, 3.573, 97.000, 54, 
0, NewMedia0, U, 2, Map2, 0.000, U, 3, user4, M, 0, 1.712, 55.162, 5.603, 190.000, 111, 
0, NewMedia0, U, 2, Map2, 0.000, U, 4, user5, M, 0, -1.000, 0.000, 0.000, 0.000, 0, 
0, NewMedia0, U, 2, Map2, 0.000, U, 5, user6, M, 0, 1.083, 3.965, 0.403, 16.000, 7, 
0, NewMedia0, U, 2, Map2, 0.000, U, 6, user7, M, 0, 246.595, 0.198, 0.020, 4.000, 3, 
0, NewMedia0, U, 2, Map2, 0.000, U, 7, user8, M, 0, 4.125, 79.496, 8.074, 270.000, 146, 
0, NewMedia0, U, 2, Map2, 0.000, U, 8, user9, M, 0, 0.115, 43.053, 4.373, 193.000, 129, 
0, NewMedia0, U, 2, Map2, 0.000, U, 9, user10, M, 0, 0.675, 48.052, 4.880, 165.000, 82, 
0, NewMedia0, U, 2, Map2, 0.000, U, 10, user11, M, 0, 0.066, 49.596, 5.037, 178.000, 101, 
0, NewMedia0, U, 2, Map2, 0.000, U, 11, user12, M, 0, 0.165, 43.312, 4.399, 104.000, 51, 
0, NewMedia0, U, 2, Map2, 0.000, U, 12, user13, M, 0, 1.283, 59.146, 6.007, 172.000, 82, 
0, NewMedia0, U, 2, Map2, 0.000, U, 13, user14, M, 0, 0.000, 32.789, 3.330, 130.000, 77, 
0, NewMedia0, U, 2, Map2, 0.000, U, 14, user15, M, 0, 0.117, 81.828, 8.311, 229.000, 110, 
0, NewMedia0, U, 2, Map2, 0.000, U, 15, user16, M, 0, 0.031, 62.172, 6.315, 218.000, 128, 
0, NewMedia0, U, 2, Map2, 0.000, U, 16, user17, M, 0, 0.539, 52.617, 5.344, 138.000, 48, 
0, NewMedia0, U, 2, Map2, 0.000, U, 17, user18, M, 0, 1.852, 68.453, 6.953, 136.000, 77, 
0, NewMedia0, U, 2, Map2, 0.000, U, 18, user19, M, 0, 0.375, 40.984, 4.163, 124.000, 51, 
0, NewMedia0, U, 2, Map2, 0.000, U, 19, user20, M, 0, 0.000, 65.125, 6.615, 278.000, 145, 
0, NewMedia0, U, 2, Map2, 0.000, U, 20, user21, M, 0, 0.438, 87.656, 8.903, 352.000, 153, 
0, NewMedia0, U, 2, Map2, 0.000, U, 21, user22, M, 0, 0.000, 37.162, 3.774, 143.000, 102, 
0, NewMedia0, U, 2, Map2, 0.000, U, 22, user23, M, 0, 1.375, 11.859, 1.205, 55.000, 35, 
0, NewMedia0, U, 2, Map2, 0.000, U, 23, user24, M, 0, 0.125, 53.422, 5.426, 168.000, 95, 
0, NewMedia0, U, 2, Map2, 0.000, U, 24, user25, M, 0, 1.859, 16.609, 1.687, 114.000, 92, 
0, NewMedia0, U, 2, Map2, 0.000, U, 25, user26, M, 0, 0.000, 45.922, 4.664, 133.000, 75, 
0, NewMedia0, U, 2, Map2, 0.000, U, 26, user27, M, 0, 6.750, 34.328, 3.487, 163.000, 115, 
0, NewMedia0, U, 2, Map2, 0.000, U, 27, user28, M, 0, 1.891, 21.797, 2.214, 101.000, 69, 
0, NewMedia0, U, 2, Map2, 0.000, U, 28, user29, M, 0, 0.656, 45.531, 4.624, 225.000, 177, 
0, NewMedia0, U, 2, Map2, 0.000, U, 29, user30, M, 0, 0.000, 31.188, 3.168, 141.000, 90, 
0, NewMedia0, U, 2, Map2, 0.000, U, 30, user31, M, 0, 0.406, 73.344, 7.449, 234.000, 125, 
0, NewMedia0, U, 2, Map2, 0.000, U, 31, user32, M, 0, 0.125, 95.031, 9.652, 265.000, 131, 
0, NewMedia0, U, 2, Map2, 0.000, U, 33, user33, M, 0, 2.125, 32.344, 3.285, 95.000, 52, 
0, NewMedia0, U, 2, Map2, 0.000, U, 34, uesr34, M, 0, 0.000, 62.625, 6.361, 204.000, 119, 
0, NewMedia0, U, 2, Map2, 0.000, U, 35, user35, M, 0, 0.051, 4.183, 0.425, 17.000, 8, 
0, NewMedia0, U, 2, Map2, 0.000, U, 36, user36, M, 0, 0.214, 50.536, 5.133, 180.000, 129, 
0, NewMedia0, U, 2, Map2, 0.000, U, 37, user37, M, 0, 0.000, 32.061, 3.256, 104.000, 57, 
0, NewMedia0, U, 2, Map2, 0.000, U, 38, user38, M, 0, 0.000, 54.219, 5.507, 206.000, 102, 
0, NewMedia0, U, 2, Map2, 0.000, U, 39, user39, M, 0, 0.000, 67.141, 6.819, 308.000, 177, 
0, NewMedia0, U, 3, Map3, 0.000, U, 0, user1, M, 0, 7.065, 54.950, 5.581, 109.000, 43, 
0, NewMedia0, U, 3, Map3, 0.000, U, 1, user2, M, 0, 16.544, 32.005, 3.251, 95.000, 53, 
0, NewMedia0, U, 3, Map3, 0.000, U, 2, user3, M, 0, 19.172, 34.237, 3.477, 65.000, 19, 
0, NewMedia0, U, 3, Map3, 0.000, U, 3, user4, M, 0, 23.674, 39.308, 3.992, 124.000, 80, 
0, NewMedia0, U, 3, Map3, 0.000, U, 4, user5, M, 0, 271.599, 0.261, 0.027, 3.000, 1, 
0, NewMedia0, U, 3, Map3, 0.000, U, 5, user6, M, 0, 14.029, 3.125, 0.317, 22.000, 17, 
0, NewMedia0, U, 3, Map3, 0.000, U, 6, user7, M, 0, 332.600, 0.017, 0.002, 1.000, 0, 
0, NewMedia0, U, 3, Map3, 0.000, U, 7, user8, M, 0, 0.100, 85.545, 8.689, 228.000, 63, 
0, NewMedia0, U, 3, Map3, 0.000, U, 8, user9, M, 0, 2.004, 14.345, 1.457, 64.000, 44, 
0, NewMedia0, U, 3, Map3, 0.000, U, 9, user10, M, 0, 1.793, 13.189, 1.340, 50.000, 28, 
0, NewMedia0, U, 3, Map3, 0.000, U, 10, user11, M, 0, 65.519, 48.836, 4.960, 129.000, 45, 
0, NewMedia0, U, 3, Map3, 0.000, U, 11, user12, M, 0, 50.437, 95.599, 9.710, 188.000, 81, 
0, NewMedia0, U, 3, Map3, 0.000, U, 12, user13, M, 0, 3.878, 48.976, 4.974, 129.000, 76, 
0, NewMedia0, U, 3, Map3, 0.000, U, 13, user14, M, 0, 28.680, 49.500, 5.028, 154.000, 35, 
0, NewMedia0, U, 3, Map3, 0.000, U, 14, user15, M, 0, 4.281, 84.586, 8.591, 223.000, 63, 
0, NewMedia0, U, 3, Map3, 0.000, U, 15, user16, M, 0, 14.766, 65.367, 6.639, 180.000, 92, 
0, NewMedia0, U, 3, Map3, 0.000, U, 16, user17, M, 0, 30.422, 71.289, 7.241, 158.000, 44, 
0, NewMedia0, U, 3, Map3, 0.000, U, 17, user18, M, 0, 35.367, 44.781, 4.548, 83.000, 31, 
0, NewMedia0, U, 3, Map3, 0.000, U, 18, user19, M, 0, 1.086, 36.523, 3.710, 127.000, 72, 
0, NewMedia0, U, 3, Map3, 0.000, U, 19, user20, M, 0, 20.422, 24.453, 2.484, 80.000, 22, 
0, NewMedia0, U, 3, Map3, 0.000, U, 20, user21, M, 0, 13.375, 59.609, 6.054, 230.000, 64, 
0, NewMedia0, U, 3, Map3, 0.000, U, 21, user22, M, 0, 127.191, 43.611, 4.429, 138.000, 50, 
0, NewMedia0, U, 3, Map3, 0.000, U, 22, user23, M, 0, 6.453, 17.516, 1.779, 69.000, 39, 
0, NewMedia0, U, 3, Map3, 0.000, U, 23, user24, M, 0, 5.500, 52.828, 5.366, 117.000, 53, 
0, NewMedia0, U, 3, Map3, 0.000, U, 24, user25, M, 0, 1.625, 34.469, 3.501, 144.000, 101, 
0, NewMedia0, U, 3, Map3, 0.000, U, 25, user26, M, 0, 58.938, 62.484, 6.346, 154.000, 37, 
0, NewMedia0, U, 3, Map3, 0.000, U, 26, user27, M, 0, 0.813, 40.469, 4.110, 159.000, 77, 
0, NewMedia0, U, 3, Map3, 0.000, U, 27, user28, M, 0, 32.844, 25.422, 2.582, 99.000, 69, 
0, NewMedia0, U, 3, Map3, 0.000, U, 28, user29, M, 0, 18.813, 31.547, 3.204, 123.000, 65, 
0, NewMedia0, U, 3, Map3, 0.000, U, 29, user30, M, 0, 21.953, 24.953, 2.534, 96.000, 56, 
0, NewMedia0, U, 3, Map3, 0.000, U, 30, user31, M, 0, 18.906, 83.844, 8.516, 244.000, 125, 
0, NewMedia0, U, 3, Map3, 0.000, U, 31, user32, M, 0, 17.906, 62.344, 6.332, 125.000, 70, 
0, NewMedia0, U, 3, Map3, 0.000, U, 33, user33, M, 0, 38.250, 16.219, 1.647, 66.000, 39, 
0, NewMedia0, U, 3, Map3, 0.000, U, 34, uesr34, M, 0, 29.906, 103.031, 10.465, 214.000, 51, 
0, NewMedia0, U, 3, Map3, 0.000, U, 35, user35, M, 0, 24.577, 4.665, 0.474, 15.000, 11, 
0, NewMedia0, U, 3, Map3, 0.000, U, 36, user36, M, 0, 26.401, 25.515, 2.592, 80.000, 48, 
0, NewMedia0, U, 3, Map3, 0.000, U, 37, user37, M, 0, 14.029, 37.969, 3.856, 96.000, 31, 
0, NewMedia0, U, 3, Map3, 0.000, U, 38, user38, M, 0, 2.602, 62.102, 6.307, 155.000, 66, 
0, NewMedia0, U, 3, Map3, 0.000, U, 39, user39, M, 0, 18.672, 16.711, 1.697, 78.000, 64, 
0, NewMedia0, U, 4, Map4, 0.000, U, 0, user1, M, 0, 3.567, 83.949, 8.526, 172.000, 86, 
0, NewMedia0, U, 4, Map4, 0.000, U, 1, user2, M, 0, 17.020, 20.826, 2.115, 66.000, 38, 
0, NewMedia0, U, 4, Map4, 0.000, U, 2, user3, M, 0, 54.642, 26.451, 2.687, 65.000, 34, 
0, NewMedia0, U, 4, Map4, 0.000, U, 3, user4, M, 0, 0.822, 30.954, 3.144, 120.000, 81, 
0, NewMedia0, U, 4, Map4, 0.000, U, 4, user5, M, 0, 19.732, 0.261, 0.027, 2.000, 1, 
0, NewMedia0, U, 4, Map4, 0.000, U, 5, user6, M, 0, 3.564, 1.156, 0.117, 11.000, 8, 
0, NewMedia0, U, 4, Map4, 0.000, U, 6, user7, M, 0, 118.599, 0.164, 0.017, 2.000, 1, 
0, NewMedia0, U, 4, Map4, 0.000, U, 7, user8, M, 0, 2.465, 35.433, 3.599, 112.000, 61, 
0, NewMedia0, U, 4, Map4, 0.000, U, 8, user9, M, 0, 18.070, 15.587, 1.583, 82.000, 66, 
0, NewMedia0, U, 4, Map4, 0.000, U, 9, user10, M, 0, 1.661, 12.928, 1.313, 45.000, 32, 
0, NewMedia0, U, 4, Map4, 0.000, U, 10, user11, M, 0, 1.965, 24.235, 2.461, 86.000, 49, 
0, NewMedia0, U, 4, Map4, 0.000, U, 11, user12, M, 0, 61.746, 85.413, 8.675, 181.000, 48, 
0, NewMedia0, U, 4, Map4, 0.000, U, 12, user13, M, 0, 4.813, 59.289, 6.022, 164.000, 100, 
0, NewMedia0, U, 4, Map4, 0.000, U, 13, user14, M, 0, 21.469, 33.086, 3.360, 145.000, 51, 
0, NewMedia0, U, 4, Map4, 0.000, U, 14, user15, M, 0, 25.500, 39.836, 4.046, 131.000, 64, 
0, NewMedia0, U, 4, Map4, 0.000, U, 15, user16, M, 0, 0.000, 39.547, 4.017, 149.000, 96, 
0, NewMedia0, U, 4, Map4, 0.000, U, 16, user17, M, 0, 36.273, 13.492, 1.370, 43.000, 32, 
0, NewMedia0, U, 4, Map4, 0.000, U, 17, user18, M, 0, 31.258, 31.867, 3.237, 65.000, 30, 
0, NewMedia0, U, 4, Map4, 0.000, U, 18, user19, M, 0, 0.281, 19.344, 1.965, 87.000, 56, 
0, NewMedia0, U, 4, Map4, 0.000, U, 19, user20, M, 0, 113.922, 16.703, 1.696, 65.000, 43, 
0, NewMedia0, U, 4, Map4, 0.000, U, 20, user21, M, 0, 12.438, 32.422, 3.293, 185.000, 103, 
0, NewMedia0, U, 4, Map4, 0.000, U, 21, user22, M, 0, 126.057, 7.792, 0.791, 39.000, 29, 
0, NewMedia0, U, 4, Map4, 0.000, U, 22, user23, M, 0, 13.781, 31.906, 3.241, 112.000, 50, 
0, NewMedia0, U, 4, Map4, 0.000, U, 23, user24, M, 0, 23.813, 66.141, 6.718, 172.000, 106, 
0, NewMedia0, U, 4, Map4, 0.000, U, 24, user25, M, 0, 30.906, 38.234, 3.883, 182.000, 116, 
0, NewMedia0, U, 4, Map4, 0.000, U, 25, user26, M, 0, 1.016, 48.547, 4.931, 115.000, 55, 
